257, 0, 1.0680311172971528
257, 1, 11.407483452735438
257, 2, -0.9099999999999999
257, 3, 17.42317939966258
258, 0, -0.7
258, 1, 0.0
258, 2, 0.0
258, 3, 15.357587184385942
260, 0, 4.023169150872394
260, 1, 0.0
260, 2, 0.0
260, 3, 0.0
289, 0, 5.967438153188597
289, 1, 0.0
289, 2, 0.0
289, 3, 0.0
290, 0, 0.0
290, 1, 0.0
290, 2, 0.0
290, 3, 2.800376625772458
321, 0, 0.0
321, 1, 0.0
321, 2, 0.0
321, 3, 7.094684730603672
322, 0, 0.0
322, 1, 0.0
322, 2, 0.0
322, 3, 0.710981245149642
513, 0, 0.0
513, 1, 3.4944283246415266
513, 2, 0.0
513, 3, -0.16687071665906275
514, 0, 16.77586359499496
514, 1, 7.199415415004123
514, 2, 2.0273575
514, 3, 1.0238284973924583
516, 0, -0.7
516, 1, 0.0
516, 2, 18.943480636880743
516, 3, 0.0
520, 0, -0.7
520, 1, 0.0
520, 2, -0.7
520, 3, -0.7
580, 0, 0.0
580, 1, 0.0
580, 2, 0.0
580, 3, -67.90326433524609
642, 0, 11.491964573571849
642, 1, 0.0
642, 2, 0.0
642, 3, 0.0
644, 0, -70.0
644, 1, -0.7
644, 2, 0.0
644, 3, 0.0
768, 0, 0.0
768, 1, 0.0
768, 2, 0.7
768, 3, 0.0
769, 0, -0.8057823526442299
769, 1, 3.158657487771668
769, 2, 16.573034554892686
769, 3, 2.323668027838101
770, 0, 12.641998274230305
770, 1, 1.8196262573551705
770, 2, 19.257827039174867
770, 3, 2.94323148266008
772, 0, 5.36123852622519
772, 1, 3.1047309264102556
772, 2, 15.12418558885546
772, 3, 7.1729430686442415
776, 0, -0.8375170584374989
776, 1, 1.9231443614485935
776, 2, -0.3045875657259596
776, 3, 8.680380582480423
801, 0, 1.676083508829423
801, 1, 0.0
801, 2, 0.0
801, 3, 0.0
804, 0, 2.2985719787023453
804, 1, 0.0
804, 2, 0.0
804, 3, 0.0
833, 0, -0.7
833, 1, 0.0
833, 2, 0.0
833, 3, 0.0
834, 0, 0.0
834, 1, 0.0
834, 2, 0.0
834, 3, 12.61248540199813
836, 0, 0.0
836, 1, 0.0
836, 2, 8.206432644699843
836, 3, 0.0
840, 0, 0.0
840, 1, -70.0
840, 2, 0.0
840, 3, 0.0
897, 0, 0.0
897, 1, 0.0
897, 2, 8.815918453348095
897, 3, 0.0
898, 0, 9.70007879472169
898, 1, 0.0
898, 2, 0.0
898, 3, -0.7
900, 0, -69.5345
900, 1, -0.7
900, 2, 9.476137169307876
900, 3, 0.0
904, 0, -69.0852925
904, 1, -0.7
904, 2, -70.0
904, 3, 0.0
932, 0, 0.0
932, 1, -0.7
932, 2, -59.704452198278304
932, 3, -0.7
1026, 0, 0.0
1026, 1, 8.554607077194316
1026, 2, 0.0
1026, 3, 0.0
1028, 0, 3.666643591036813
1028, 1, 13.812942731754443
1028, 2, 0.0
1028, 3, 16.842260752699957
1032, 0, 0.0
1032, 1, 24.65211986516911
1032, 2, 0.0
1032, 3, 0.0
1042, 0, 0.0
1042, 1, 16.86095362890432
1042, 2, 0.0
1042, 3, 0.0
1048, 0, -0.7
1048, 1, 17.290363144977263
1048, 2, -0.7
1048, 3, -70.0
1156, 0, 0.0
1156, 1, 0.0
1156, 2, 0.0
1156, 3, 8.661373726129073
1160, 0, 0.0
1160, 1, 7.21
1160, 2, -70.0
1160, 3, 0.0
1176, 0, 0.0
1176, 1, 7.0
1176, 2, 0.0
1176, 3, 0.0
1537, 0, -0.07552914540481526
1537, 1, -0.018544635993384538
1537, 2, 10.361147657589198
1537, 3, 0.0
1538, 0, 0.0
1538, 1, 15.309417078061696
1538, 2, 0.0
1538, 3, 0.0
1540, 0, 3.088430569962485
1540, 1, 5.680160034359403
1540, 2, 3.6746802015212934
1540, 3, 0.0
1544, 0, 0.9025576215687499
1544, 1, 12.96374180942086
1544, 2, 0.0
1544, 3, -0.7
1553, 0, 0.0
1553, 1, -70.0
1553, 2, 0.0
1553, 3, 0.0
1554, 0, 0.0
1554, 1, 0.0
1554, 2, 2.143153091351996
1554, 3, 0.0
1556, 0, 0.0
1556, 1, 0.0
1556, 2, 7.370049377793
1556, 3, 0.0
1560, 0, 0.0
1560, 1, 0.7
1560, 2, -0.973
1560, 3, 0.0
1572, 0, 0.16114743594118755
1572, 1, 0.0
1572, 2, 0.0
1572, 3, 0.0
1608, 0, 0.0
1608, 1, -62.36412010328169
1608, 2, 0.0
1608, 3, 0.0
1668, 0, 0.0
1668, 1, 0.0
1668, 2, 0.0
1668, 3, 2.4600062899185455
1688, 0, -70.0
1688, 1, 0.0
1688, 2, 0.0
1688, 3, 0.0
2049, 0, 0.0
2049, 1, 6.696056633838801
2049, 2, -0.9099999999999999
2049, 3, 0.0
2050, 0, -0.7
2050, 1, -0.7
2050, 2, -0.7
2050, 3, 10.765700913122839
2052, 0, 3.390157922323234
2052, 1, 0.0
2052, 2, 0.0
2052, 3, -0.7
2056, 0, 0.0
2056, 1, 0.07505749999999993
2056, 2, 2.6563999874999995
2056, 3, 8.139040745275127
2081, 0, 2.568306124816984
2081, 1, 0.0
2081, 2, 0.0
2081, 3, 0.0
2082, 0, 0.0
2082, 1, 0.0
2082, 2, -70.0
2082, 3, 0.0
2084, 0, 0.0
2084, 1, 1.5889410906477217
2084, 2, 0.0
2084, 3, -0.7
2088, 0, 10.588100234273798
2088, 1, 0.0
2088, 2, 0.0
2088, 3, 0.0
2097, 0, 0.0
2097, 1, -64.73661177966103
2097, 2, 0.0
2097, 3, 0.0
2305, 0, 1.30515
2305, 1, 2.585345935408278
2305, 2, 2.7132416758176316
2305, 3, 11.527506300435949
2306, 0, 1.1519897744001157
2306, 1, -0.7
2306, 2, -0.9099999999999999
2306, 3, 8.637362494008354
2308, 0, 4.670736833672285
2308, 1, -0.7
2308, 2, -0.7
2308, 3, -0.7
2312, 0, 0.0
2312, 1, 0.0
2312, 2, 0.0
2312, 3, 5.088882859063218
2337, 0, 5.461244012511179
2337, 1, 0.0
2337, 2, -87.44983785795438
2337, 3, 0.7
2338, 0, -70.0
2338, 1, -0.7
2338, 2, -68.95682344030638
2338, 3, 1.1655
2340, 0, 8.091284634627772
2340, 1, 0.0
2340, 2, -68.95682344030638
2340, 3, -0.7
2344, 0, 0.0
2344, 1, 0.0
2344, 2, 0.0
2344, 3, 0.17815000000000003
2372, 0, 0.0
2372, 1, 0.0
2372, 2, 0.0
2372, 3, -70.0
3073, 0, 16.531152759927856
3073, 1, -0.7
3073, 2, -0.7
3073, 3, 1.5701133789785973
3074, 0, 0.0
3074, 1, 6.236308007344636
3074, 2, -0.9099999999999999
3074, 3, -0.7
3076, 0, 17.45080774413217
3076, 1, 5.526637432848582
3076, 2, -0.13494250000000008
3076, 3, 4.680775787945366
3080, 0, 20.4860069776293
3080, 1, 2.342003596458822
3080, 2, 5.55290890778261
3080, 3, 4.834456949289777
3089, 0, 4.527740347444642
3089, 1, 0.0
3089, 2, 0.0
3089, 3, 0.0
3092, 0, 0.0
3092, 1, 0.0
3092, 2, 0.0
3092, 3, -0.7
3096, 0, 8.601206644827123
3096, 1, 0.0
3096, 2, 1.49691999625
3096, 3, 0.0
3105, 0, 0.0
3105, 1, 5.037468046996353
3105, 2, 0.0
3105, 3, 0.0
3106, 0, 0.0
3106, 1, 0.7
3106, 2, 0.0
3106, 3, 0.0
3112, 0, 0.0
3112, 1, 0.0
3112, 2, 8.141199362758746
3112, 3, 0.0
3128, 0, 0.0
3128, 1, -0.7
3128, 2, 0.0
3128, 3, 0.0
